primary,lead_days,target_return_basis,chosen_variant,avg_oos_accuracy,is_strong,global_batch_stability_rate,latest_inner_test_acc,same_as_previous_batch
USD/CHF,8,high_low,LogReg C=1.0,0.6293333333333333,False,0.5172413793103449,0.54,False
USD/JPY,7,high_low,LogReg C=1.0,0.6293333333333333,False,0.4482758620689655,0.62,True
EUR/GBP,9,high_low,HGB md=4 mi=80 lr=0.1,0.628,False,0.4827586206896552,0.66,False
EUR/JPY,6,close,HGB md=4 mi=80 lr=0.1,0.628,False,0.4482758620689655,0.64,False
USD/CAD,8,high_low,LogReg C=1.0,0.628,False,0.4482758620689655,0.54,False
GBP/USD,5,close,RF md=8 n=80,0.6266666666666667,False,0.4482758620689655,0.74,False
USD/CAD,9,high_low,RF md=8 n=80,0.6266666666666667,False,0.3103448275862069,0.54,True
AUD/USD,8,close,HGB md=4 mi=80 lr=0.1,0.6253333333333333,False,0.3448275862068966,0.52,False
GBP/JPY,8,high_low,RF md=8 n=80,0.624,False,0.4482758620689655,0.64,True
NZD/USD,7,high_low,HGB md=4 mi=80 lr=0.1,0.624,False,0.3793103448275862,0.72,False
USD/CAD,6,high_low,LogReg C=1.0,0.624,False,0.5517241379310345,0.56,False
USD/CHF,4,close,LogReg C=1.0,0.624,False,0.5172413793103449,0.52,True
USD/CAD,5,high_low,LogReg C=1.0,0.6226666666666667,False,0.3448275862068966,0.58,False
USD/CHF,6,high_low,LogReg C=1.0,0.6226666666666667,False,0.3448275862068966,0.54,False
AUD/USD,7,high_low,LogReg C=1.0,0.6213333333333333,False,0.4137931034482759,0.5,False
NZD/USD,6,close,LogReg C=1.0,0.6213333333333333,False,0.5517241379310345,0.58,False
USD/CAD,7,high_low,LogReg C=1.0,0.6213333333333333,False,0.3793103448275862,0.52,False
USD/JPY,8,high_low,LogReg C=1.0,0.6213333333333333,False,0.4482758620689655,0.64,True
EUR/JPY,4,close,HGB md=4 mi=80 lr=0.1,0.62,False,0.3103448275862069,0.64,False
EUR/USD,5,close,LogReg C=1.0,0.6186666666666667,False,0.4482758620689655,0.6,True
GBP/USD,4,high_low,RF md=8 n=80,0.6186666666666667,False,0.4482758620689655,0.72,True
GBP/JPY,6,high_low,HGB md=4 mi=80 lr=0.1,0.6173333333333333,False,0.4137931034482759,0.48,False
USD/CAD,6,close,LogReg C=1.0,0.6173333333333333,False,0.4137931034482759,0.5,False
EUR/JPY,5,close,HGB md=4 mi=80 lr=0.1,0.616,False,0.4137931034482759,0.66,False
AUD/USD,6,close,HGB md=4 mi=80 lr=0.1,0.6146666666666667,False,0.3448275862068966,0.52,False
EUR/GBP,6,high_low,RF md=8 n=80,0.6146666666666667,False,0.3448275862068966,0.6,True
USD/JPY,3,high_low,HGB md=4 mi=80 lr=0.1,0.6146666666666667,False,0.5862068965517241,0.7,False
EUR/GBP,6,close,HGB md=4 mi=80 lr=0.1,0.612,False,0.3793103448275862,0.58,True
GBP/JPY,7,close,RF md=8 n=80,0.612,False,0.1724137931034483,0.56,False
USD/CAD,4,close,LogReg C=1.0,0.6106666666666667,False,0.3793103448275862,0.5,False
USD/JPY,6,high_low,LogReg C=1.0,0.6106666666666667,False,0.3448275862068966,0.64,True
EUR/GBP,10,high_low,HGB md=4 mi=80 lr=0.1,0.6093333333333333,False,0.4482758620689655,0.68,False
AUD/USD,6,high_low,LogReg C=1.0,0.608,False,0.4137931034482759,0.48,False
EUR/GBP,5,high_low,LogReg C=1.0,0.608,False,0.4482758620689655,0.62,False
GBP/USD,3,close,RF md=8 n=80,0.608,False,0.3103448275862069,0.6,False
NZD/USD,3,high_low,LogReg C=1.0,0.608,False,0.2758620689655172,0.56,False
USD/CHF,5,high_low,LogReg C=1.0,0.608,False,0.5172413793103449,0.56,False
EUR/GBP,7,close,HGB md=4 mi=80 lr=0.1,0.6053333333333333,False,0.2413793103448276,0.7,False
USD/CAD,3,high_low,LogReg C=1.0,0.6053333333333333,False,0.3793103448275862,0.62,False
USD/CHF,5,close,LogReg C=1.0,0.6053333333333333,False,0.3793103448275862,0.56,True
EUR/GBP,7,high_low,HGB md=4 mi=80 lr=0.1,0.604,False,0.3103448275862069,0.64,False
EUR/GBP,8,high_low,RF md=8 n=80,0.604,False,0.4482758620689655,0.66,False
GBP/USD,3,high_low,RF md=8 n=80,0.604,False,0.4482758620689655,0.7,True
USD/CAD,4,high_low,LogReg C=1.0,0.604,False,0.3103448275862069,0.48,False
EUR/JPY,4,high_low,LogReg C=1.0,0.6026666666666667,False,0.3448275862068966,0.6,False
GBP/JPY,7,high_low,LogReg C=1.0,0.6026666666666667,False,0.2413793103448276,0.54,False
GBP/JPY,4,close,HGB md=4 mi=80 lr=0.1,0.6,False,0.3793103448275862,0.56,False
USD/CAD,5,close,LogReg C=1.0,0.6,False,0.2758620689655172,0.56,False
