primary,target_mode,lead,model,pooled_test_accuracy,sharpe,ann_return,max_drawdown,sortino,hit_rate,pct_traded,n_oos_days
EUR/USD,binary,8,Hist gradient boosting,0.5166666666666667,0.6770725783062159,0.12025338855296552,-0.45806990748220855,1.1304427887486608,0.5179425837320574,0.9952380952380953,840.0
EUR/USD,binary,8,"Logit (statsmodels, PCA)",0.5285714285714286,0.62701912987151,0.11108639005983934,-0.47920227746348065,1.0535131207791513,0.5306122448979592,0.9916666666666667,840.0
EUR/USD,binary,8,Ensemble (mean proba),0.5154761904761904,0.4653663856386906,0.08057822384535651,-0.5006863629962653,0.7858147722170236,0.5175332527206772,0.9845238095238096,840.0
EUR/USD,binary,8,XGBoost,0.5166666666666667,0.41733943003180607,0.0718783867877939,-0.43447561795536727,0.715708816812131,0.5149700598802395,0.9940476190476191,840.0
EUR/USD,binary,8,Ensemble (weighted train acc),0.5142857142857142,0.4154699515180093,0.07106161945733525,-0.4886579157409876,0.6977028621220738,0.5162846803377563,0.986904761904762,840.0
EUR/USD,binary,8,MLP neural net,0.5095238095238095,0.3484870423992073,0.0588824901828644,-0.49673735439917,0.47052261854350297,0.5205655526992288,0.9261904761904762,840.0
EUR/USD,binary,8,Random forest,0.49642857142857144,-0.09958228028259086,-0.016490009724058008,-0.558311458793754,-0.15737378850171083,0.5012224938875306,0.9738095238095238,840.0
EUR/USD,binary,8,SVM (RBF),0.5083333333333333,-0.38735429900262963,-0.06239794325808867,-0.5841194163613018,-0.5311575346085856,0.5072815533980582,0.9809523809523809,840.0
EUR/USD,binary,9,"Probit (statsmodels, PCA)",0.5654761904761905,1.5649553771324145,0.3127492522190236,-0.3456775746477867,2.7111674952848177,0.5654261704681873,0.9916666666666667,840.0
EUR/USD,binary,9,"Logit (statsmodels, PCA)",0.5678571428571428,1.5181263720033313,0.3018997440335669,-0.33788813533389994,2.634082454869587,0.5664670658682635,0.9940476190476191,840.0
EUR/USD,binary,9,"Logistic (sklearn, on global PCA)",0.5488095238095239,1.0622715547358412,0.20400198620914933,-0.3639075974891053,1.8377522308630445,0.5495169082125604,0.9857142857142858,840.0
EUR/USD,binary,9,XGBoost,0.5119047619047619,0.7845148983942916,0.14730312248194433,-0.3943785642602188,1.3660239351217822,0.5119331742243437,0.9976190476190476,840.0
EUR/USD,binary,9,Ensemble (mean proba),0.5273809523809524,0.6930066699306328,0.12807441718058454,-0.4308708672119873,1.2439075634921515,0.5223700120918985,0.9845238095238096,840.0
EUR/USD,binary,9,Ensemble (weighted train acc),0.5190476190476191,0.6227384590691074,0.1147131619430124,-0.4233152908656427,1.0901340554425905,0.520048602673147,0.9797619047619047,840.0
EUR/USD,binary,9,Gradient boosting (sklearn),0.5119047619047619,0.5716216504863159,0.1055378601762389,-0.45431881109886385,1.0045081142431116,0.511377245508982,0.9940476190476191,840.0
EUR/USD,binary,9,Hist gradient boosting,0.5047619047619047,0.2573623478959581,0.04609501997353638,-0.45644424088782176,0.44799678981096774,0.5035971223021583,0.9928571428571429,840.0
EUR/USD,binary,9,Random forest,0.5202380952380953,0.09920450158445572,0.017321991905594913,-0.5142504359566018,0.15350951093186233,0.5164034021871203,0.9797619047619047,840.0
EUR/USD,binary,9,SVM (RBF),0.5464285714285714,-0.023650698975808113,-0.004110811215025767,-0.57409584422524,-0.030773549261849168,0.5469879518072289,0.9880952380952381,840.0
EUR/USD,binary,9,MLP neural net,0.5190476190476191,-0.14548067641136023,-0.02455633631812626,-0.4661203892759249,-0.2094728567024499,0.5143979057591623,0.9095238095238095,840.0
EUR/USD,binary,10,"Probit (statsmodels, PCA)",0.530952380952381,1.0656255184916323,0.21124534346763135,-0.3686686348563314,1.9219103287263577,0.5321992709599028,0.9797619047619047,840.0
EUR/USD,binary,10,"Logit (statsmodels, PCA)",0.5285714285714286,0.9460939798607052,0.18780020030803568,-0.39588056592987,1.672161658003176,0.5282791817087846,0.9892857142857143,840.0
EUR/USD,binary,10,Hist gradient boosting,0.49523809523809526,0.7752865742324728,0.15184782563757038,-0.3896049248597585,1.432154791746669,0.4964200477326969,0.9976190476190476,840.0
EUR/USD,binary,10,Ensemble (mean proba),0.5214285714285715,0.7282893297779715,0.1416171574330667,-0.43729915965300215,1.248079491418643,0.5175757575757576,0.9821428571428571,840.0
